               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  94,            0.029689,            0.010609,                   0,             0.97998,             0.98867,             0.99404,             0.74878,            0.022519,           0.0047838,                   0,           0.0081586,           0.0081586,           0.0081586
                  95,            0.030445,            0.010655,                   0,             0.99751,              0.9798,             0.99451,             0.75371,            0.021831,           0.0047667,                   0,           0.0081388,           0.0081388,           0.0081388
                  96,            0.030165,            0.010375,                   0,             0.99831,              0.9899,              0.9949,             0.66624,            0.025262,           0.0048111,                   0,            0.008119,            0.008119,            0.008119
                  97,            0.030839,            0.010764,                   0,                   1,             0.98971,              0.9949,             0.69994,            0.026252,           0.0047614,                   0,           0.0080992,           0.0080992,           0.0080992
                  98,            0.029098,           0.0088235,                   0,             0.97985,             0.98216,             0.99451,             0.73798,            0.024841,           0.0047806,                   0,           0.0080794,           0.0080794,           0.0080794
                  99,            0.026561,            0.010559,                   0,             0.98658,              0.9899,             0.99425,             0.75599,            0.020818,           0.0047032,                   0,           0.0080596,           0.0080596,           0.0080596
                 100,            0.028265,            0.010489,                   0,              0.9822,              0.9899,             0.99366,             0.62435,            0.030334,           0.0048672,                   0,           0.0080398,           0.0080398,           0.0080398
                 101,            0.029329,           0.0098544,                   0,             0.97802,              0.9899,             0.99432,             0.67877,            0.024616,           0.0047443,                   0,             0.00802,             0.00802,             0.00802
                 102,            0.030099,            0.010237,                   0,             0.98987,              0.9899,              0.9946,             0.64993,            0.026425,           0.0047313,                   0,           0.0080002,           0.0080002,           0.0080002
                 103,            0.029812,            0.010622,                   0,             0.97193,                   1,              0.9943,             0.71424,            0.022786,            0.004638,                   0,           0.0079804,           0.0079804,           0.0079804
                 104,            0.029247,           0.0091867,                   0,             0.98997,             0.99744,              0.9946,             0.73513,            0.022412,           0.0046247,                   0,           0.0079606,           0.0079606,           0.0079606
                 105,             0.02657,           0.0098362,                   0,             0.98996,                   1,               0.995,              0.7892,            0.022364,           0.0045193,                   0,           0.0079408,           0.0079408,           0.0079408
                 106,             0.02437,            0.010313,                   0,             0.99355,              0.9899,              0.9948,             0.74158,            0.025914,           0.0046426,                   0,            0.007921,            0.007921,            0.007921
                 107,            0.029627,           0.0093979,                   0,             0.98387,              0.9899,              0.9947,                 0.7,            0.027954,            0.004758,                   0,           0.0079012,           0.0079012,           0.0079012
                 108,            0.028799,            0.010287,                   0,             0.98985,             0.98496,              0.9947,             0.73258,            0.021132,           0.0046213,                   0,           0.0078814,           0.0078814,           0.0078814
                 109,              0.0279,            0.010035,                   0,             0.99371,                   1,               0.995,             0.67161,            0.028416,           0.0047509,                   0,           0.0078616,           0.0078616,           0.0078616
                 110,            0.028362,            0.010231,                   0,              0.9941,                   1,               0.995,             0.68122,            0.026681,           0.0046504,                   0,           0.0078418,           0.0078418,           0.0078418
                 111,            0.031589,            0.011182,                   0,             0.99586,                   1,               0.995,             0.71022,            0.023135,            0.004487,                   0,            0.007822,            0.007822,            0.007822
                 112,             0.02909,           0.0097342,                   0,             0.99596,                   1,               0.995,             0.73058,            0.022267,           0.0044363,                   0,           0.0078022,           0.0078022,           0.0078022
                 113,            0.030644,            0.010634,                   0,             0.99504,                   1,               0.995,              0.7111,            0.024353,            0.004456,                   0,           0.0077824,           0.0077824,           0.0077824
                 114,            0.026158,           0.0096124,                   0,             0.99669,                   1,               0.995,             0.72599,             0.02346,           0.0043802,                   0,           0.0077626,           0.0077626,           0.0077626
                 115,            0.029008,            0.011005,                   0,             0.99595,                   1,               0.995,             0.77148,             0.01929,           0.0044087,                   0,           0.0077428,           0.0077428,           0.0077428
                 116,            0.026346,            0.009823,                   0,              0.9976,                   1,               0.995,             0.70549,            0.023924,           0.0045242,                   0,            0.007723,            0.007723,            0.007723
                 117,            0.029617,            0.010769,                   0,             0.99736,                   1,               0.995,             0.73502,            0.021273,           0.0045615,                   0,           0.0077032,           0.0077032,           0.0077032
                 118,             0.02523,           0.0093793,                   0,             0.99836,                   1,               0.995,             0.73334,            0.021613,           0.0045603,                   0,           0.0076834,           0.0076834,           0.0076834
                 119,            0.026106,           0.0093083,                   0,              0.9975,                   1,               0.995,             0.76201,            0.020184,           0.0043355,                   0,           0.0076636,           0.0076636,           0.0076636
                 120,            0.025017,           0.0099849,                   0,             0.99682,                   1,               0.995,             0.76302,             0.02228,           0.0043624,                   0,           0.0076438,           0.0076438,           0.0076438
                 121,             0.02885,            0.010239,                   0,             0.99795,                   1,               0.995,             0.65746,            0.024778,           0.0043969,                   0,            0.007624,            0.007624,            0.007624
                 122,            0.026218,           0.0084755,                   0,             0.99535,                   1,               0.995,             0.73774,            0.025806,           0.0044296,                   0,           0.0076042,           0.0076042,           0.0076042
                 123,            0.027038,           0.0096072,                   0,             0.99765,                   1,               0.995,             0.78609,            0.019283,           0.0042067,                   0,           0.0075844,           0.0075844,           0.0075844
                 124,            0.024619,            0.008636,                   0,             0.99846,                   1,               0.995,             0.77936,            0.020882,           0.0042255,                   0,           0.0075646,           0.0075646,           0.0075646
                 125,            0.025789,            0.009057,                   0,             0.99795,                   1,               0.995,             0.77165,            0.020244,           0.0041866,                   0,           0.0075448,           0.0075448,           0.0075448
                 126,            0.024854,           0.0089996,                   0,             0.99725,                   1,               0.995,             0.74999,            0.020978,            0.004156,                   0,            0.007525,            0.007525,            0.007525
                 127,            0.024306,           0.0089261,                   0,                   1,             0.99794,               0.995,             0.81876,            0.018409,           0.0040929,                   0,           0.0075052,           0.0075052,           0.0075052
                 128,            0.025287,           0.0081735,                   0,                   1,             0.99829,               0.995,             0.76787,            0.019803,           0.0041354,                   0,           0.0074854,           0.0074854,           0.0074854
                 129,            0.025531,           0.0087554,                   0,             0.99892,                   1,               0.995,               0.785,            0.021046,           0.0041552,                   0,           0.0074656,           0.0074656,           0.0074656
                 130,            0.024127,           0.0089081,                   0,             0.99068,                   1,               0.995,             0.74117,            0.020257,           0.0043965,                   0,           0.0074458,           0.0074458,           0.0074458
                 131,            0.024355,           0.0096307,                   0,             0.98856,                   1,              0.9949,             0.75283,            0.018443,           0.0042847,                   0,            0.007426,            0.007426,            0.007426
                 132,            0.026144,            0.008941,                   0,             0.99721,                   1,               0.995,             0.71906,            0.022029,           0.0043585,                   0,           0.0074062,           0.0074062,           0.0074062
                 133,            0.025464,           0.0086915,                   0,             0.98995,                   1,               0.995,             0.73419,            0.020575,           0.0044401,                   0,           0.0073864,           0.0073864,           0.0073864
                 134,            0.025861,           0.0090595,                   0,                   1,             0.99577,               0.995,             0.76697,            0.019082,           0.0042525,                   0,           0.0073666,           0.0073666,           0.0073666
                 135,            0.023039,           0.0094697,                   0,             0.99396,                   1,               0.995,              0.7964,            0.019187,           0.0041069,                   0,           0.0073468,           0.0073468,           0.0073468
                 136,            0.024133,           0.0084555,                   0,             0.99654,                   1,               0.995,             0.76739,            0.018892,           0.0040208,                   0,            0.007327,            0.007327,            0.007327
                 137,            0.025481,            0.009487,                   0,             0.99803,                   1,               0.995,             0.78145,            0.018307,           0.0040466,                   0,           0.0073072,           0.0073072,           0.0073072
                 138,            0.023431,           0.0087072,                   0,             0.99819,                   1,               0.995,             0.81143,            0.016796,           0.0040236,                   0,           0.0072874,           0.0072874,           0.0072874
                 139,            0.024695,            0.008801,                   0,                   1,             0.99869,               0.995,              0.8163,            0.016377,           0.0039177,                   0,           0.0072676,           0.0072676,           0.0072676
                 140,            0.023525,           0.0082555,                   0,              0.9987,                   1,               0.995,             0.79202,            0.018208,           0.0038787,                   0,           0.0072478,           0.0072478,           0.0072478
                 141,            0.025035,           0.0091963,                   0,             0.99875,                   1,               0.995,             0.76784,            0.018842,           0.0039833,                   0,            0.007228,            0.007228,            0.007228
                 142,            0.026663,           0.0093601,                   0,             0.99876,                   1,               0.995,              0.7218,            0.023032,           0.0042684,                   0,           0.0072082,           0.0072082,           0.0072082
                 143,            0.026384,           0.0096512,                   0,             0.99888,                   1,               0.995,             0.81165,             0.01719,           0.0039752,                   0,           0.0071884,           0.0071884,           0.0071884
                 144,            0.025242,            0.008451,                   0,             0.99912,                   1,               0.995,                0.72,            0.021466,           0.0041201,                   0,           0.0071686,           0.0071686,           0.0071686
                 145,            0.024724,           0.0087814,                   0,                   1,             0.99935,               0.995,             0.75682,            0.020067,           0.0041136,                   0,           0.0071488,           0.0071488,           0.0071488
